feedback_id,customer_id,date,rating,comment
F00201,C0116,2024-12-09,4,App is very slow and keeps freezing.
F00202,C0143,2025-07-11,2,Love the fast delivery and packaging.
F00203,C0201,2025-01-29,5,Website UI is confusing to navigate.
F00204,C0180,2024-12-27,2,Disappointed with the return process.
F00205,C0202,2024-09-21,1,App is very slow and keeps freezing.
F00206,C0364,2025-01-01,2,Website UI is confusing to navigate.
F00207,C0479,2024-07-22,4,Love the fast delivery and packaging.
F00208,C0053,2025-04-08,3,Appreciate the quick refund process.
F00209,C0471,2024-10-01,2,I had to cancel my order due to a technical glitch.
F00210,C0384,2024-12-09,3,Customer service was very helpful and quick.
F00211,C0180,2025-02-18,1,Customer service was very helpful and quick.
F00212,C0414,2025-03-29,5,Appreciate the quick refund process.
F00213,C0417,2024-09-17,5,Disappointed with the return process.
F00214,C0313,2024-10-27,3,Appreciate the quick refund process.
F00215,C0308,2025-04-28,5,Appreciate the quick refund process.
F00216,C0137,2025-04-03,2,App is very slow and keeps freezing.
F00217,C0182,2025-02-16,3,App is very slow and keeps freezing.
F00218,C0367,2025-05-07,4,Love the fast delivery and packaging.
F00219,C0001,2024-09-11,2,I had to cancel my order due to a technical glitch.
F00220,C0044,2025-03-19,2,App is very slow and keeps freezing.
F00221,C0227,2024-12-16,2,Love the fast delivery and packaging.
F00222,C0331,2025-02-21,4,Very satisfied with the product and support.
F00223,C0098,2025-05-12,1,Appreciate the quick refund process.
F00224,C0208,2025-05-20,5,Appreciate the quick refund process.
F00225,C0265,2024-09-27,3,Disappointed with the return process.
F00226,C0288,2024-09-09,1,Very satisfied with the product and support.
F00227,C0271,2024-12-19,3,Disappointed with the return process.
F00228,C0140,2024-11-12,5,Website UI is confusing to navigate.
F00229,C0481,2025-01-10,4,Love the fast delivery and packaging.
F00230,C0237,2024-10-16,2,Love the fast delivery and packaging.
F00231,C0462,2025-06-15,2,Appreciate the quick refund process.
F00232,C0441,2025-04-25,4,Product quality is not as described.
F00233,C0392,2024-09-01,1,Website UI is confusing to navigate.
F00234,C0072,2025-05-05,1,Love the fast delivery and packaging.
F00235,C0155,2025-07-09,3,App is very slow and keeps freezing.
F00236,C0190,2025-01-18,4,Appreciate the quick refund process.
F00237,C0268,2024-11-12,1,Disappointed with the return process.
F00238,C0321,2025-03-07,4,Very satisfied with the product and support.
F00239,C0107,2025-07-10,5,Disappointed with the return process.
F00240,C0232,2025-05-05,2,Customer service was very helpful and quick.
F00241,C0042,2025-03-07,2,Product quality is not as described.
F00242,C0190,2025-02-04,2,Love the fast delivery and packaging.
F00243,C0371,2025-04-24,4,I had to cancel my order due to a technical glitch.
F00244,C0139,2025-03-13,4,"Great shopping experience, will definitely return."
F00245,C0103,2025-06-18,3,Product quality is not as described.
F00246,C0171,2024-07-26,2,Appreciate the quick refund process.
F00247,C0351,2025-04-01,3,Love the fast delivery and packaging.
F00248,C0273,2024-08-19,2,Very satisfied with the product and support.
F00249,C0481,2025-05-14,3,Love the fast delivery and packaging.
F00250,C0416,2024-08-07,3,"Great shopping experience, will definitely return."
F00251,C0221,2024-08-15,5,Very satisfied with the product and support.
F00252,C0213,2024-07-21,3,Disappointed with the return process.
F00253,C0341,2024-07-16,4,Very satisfied with the product and support.
F00254,C0424,2025-07-05,3,Product quality is not as described.
F00255,C0407,2025-06-12,2,Disappointed with the return process.
F00256,C0056,2025-06-15,3,Love the fast delivery and packaging.
F00257,C0390,2024-08-02,1,Appreciate the quick refund process.
F00258,C0342,2024-11-18,2,Website UI is confusing to navigate.
F00259,C0434,2025-06-09,1,Appreciate the quick refund process.
F00260,C0102,2024-08-16,2,Love the fast delivery and packaging.
F00261,C0421,2024-11-11,4,"Great shopping experience, will definitely return."
F00262,C0493,2025-07-09,4,Website UI is confusing to navigate.
F00263,C0192,2025-06-28,4,Love the fast delivery and packaging.
F00264,C0499,2024-11-28,1,I had to cancel my order due to a technical glitch.
F00265,C0310,2024-09-29,5,Product quality is not as described.
F00266,C0200,2025-04-27,2,I had to cancel my order due to a technical glitch.
F00267,C0233,2024-09-09,4,Disappointed with the return process.
F00268,C0433,2024-10-03,2,Customer service was very helpful and quick.
F00269,C0227,2024-11-09,1,Love the fast delivery and packaging.
F00270,C0371,2025-06-04,5,App is very slow and keeps freezing.
F00271,C0139,2024-08-07,1,App is very slow and keeps freezing.
F00272,C0344,2024-11-30,2,Very satisfied with the product and support.
F00273,C0305,2025-03-12,5,Appreciate the quick refund process.
F00274,C0149,2025-07-01,5,Appreciate the quick refund process.
F00275,C0115,2024-11-12,1,Appreciate the quick refund process.
F00276,C0450,2025-02-24,4,I had to cancel my order due to a technical glitch.
F00277,C0063,2025-06-29,2,Product quality is not as described.
F00278,C0104,2025-05-30,3,Love the fast delivery and packaging.
F00279,C0339,2025-01-02,3,"Great shopping experience, will definitely return."
F00280,C0359,2025-01-13,1,Very satisfied with the product and support.
F00281,C0156,2024-11-21,2,Disappointed with the return process.
F00282,C0273,2025-04-12,2,Website UI is confusing to navigate.
F00283,C0006,2024-09-19,1,Disappointed with the return process.
F00284,C0147,2024-11-02,2,Love the fast delivery and packaging.
F00285,C0184,2024-11-07,4,Customer service was very helpful and quick.
F00286,C0486,2024-08-21,1,Appreciate the quick refund process.
F00287,C0028,2025-05-20,4,Website UI is confusing to navigate.
F00288,C0450,2025-02-16,2,I had to cancel my order due to a technical glitch.
F00289,C0038,2024-09-13,1,Love the fast delivery and packaging.
F00290,C0119,2025-06-27,2,Customer service was very helpful and quick.
F00291,C0293,2025-06-19,1,I had to cancel my order due to a technical glitch.
F00292,C0371,2024-09-10,2,Customer service was very helpful and quick.
F00293,C0244,2024-09-14,4,Appreciate the quick refund process.
F00294,C0068,2024-12-21,4,I had to cancel my order due to a technical glitch.
F00295,C0214,2024-08-27,2,Product quality is not as described.
F00296,C0218,2025-02-04,1,App is very slow and keeps freezing.
F00297,C0177,2025-07-01,3,Disappointed with the return process.
F00298,C0299,2025-03-10,4,Product quality is not as described.
F00299,C0164,2024-12-19,4,Website UI is confusing to navigate.
F00300,C0058,2024-09-12,3,Very satisfied with the product and support.
F00301,C0269,2025-02-16,2,App is very slow and keeps freezing.
F00302,C0308,2025-02-12,1,Product quality is not as described.
F00303,C0058,2025-03-14,2,Love the fast delivery and packaging.
F00304,C0288,2025-01-11,5,Customer service was very helpful and quick.
F00305,C0465,2025-04-10,4,Website UI is confusing to navigate.
F00306,C0105,2024-10-30,5,Love the fast delivery and packaging.
F00307,C0228,2025-04-06,4,App is very slow and keeps freezing.
F00308,C0247,2025-06-07,4,Customer service was very helpful and quick.
F00309,C0188,2025-06-28,5,Website UI is confusing to navigate.
F00310,C0494,2024-10-17,5,Very satisfied with the product and support.
F00311,C0083,2024-08-26,2,App is very slow and keeps freezing.
F00312,C0186,2025-03-27,5,Website UI is confusing to navigate.
F00313,C0252,2024-09-07,2,Product quality is not as described.
F00314,C0355,2025-07-01,2,Website UI is confusing to navigate.
F00315,C0238,2025-01-01,2,App is very slow and keeps freezing.
F00316,C0360,2024-08-19,4,Appreciate the quick refund process.
F00317,C0184,2025-05-02,4,Product quality is not as described.
F00318,C0284,2024-07-28,5,Love the fast delivery and packaging.
F00319,C0385,2024-09-03,4,App is very slow and keeps freezing.
F00320,C0426,2025-06-19,5,Appreciate the quick refund process.
F00321,C0210,2024-12-07,4,"Great shopping experience, will definitely return."
F00322,C0304,2025-01-12,1,Very satisfied with the product and support.
F00323,C0296,2024-12-07,1,Appreciate the quick refund process.
F00324,C0097,2025-01-14,5,"Great shopping experience, will definitely return."
F00325,C0447,2024-09-17,4,Disappointed with the return process.
F00326,C0460,2025-05-06,4,Customer service was very helpful and quick.
F00327,C0456,2024-07-20,2,Appreciate the quick refund process.
F00328,C0472,2025-02-25,3,I had to cancel my order due to a technical glitch.
F00329,C0208,2025-04-06,5,Very satisfied with the product and support.
F00330,C0370,2025-05-26,3,Appreciate the quick refund process.
F00331,C0388,2024-11-30,3,"Great shopping experience, will definitely return."
F00332,C0422,2025-07-09,5,I had to cancel my order due to a technical glitch.
F00333,C0492,2024-12-31,4,Very satisfied with the product and support.
F00334,C0411,2025-02-25,5,I had to cancel my order due to a technical glitch.
F00335,C0137,2025-02-20,3,Product quality is not as described.
F00336,C0367,2024-09-21,4,"Great shopping experience, will definitely return."
F00337,C0400,2025-01-02,1,Website UI is confusing to navigate.
F00338,C0184,2025-06-25,5,Product quality is not as described.
F00339,C0076,2024-07-20,5,Very satisfied with the product and support.
F00340,C0287,2025-01-19,4,Very satisfied with the product and support.
F00341,C0472,2025-03-30,1,App is very slow and keeps freezing.
F00342,C0375,2025-02-18,1,"Great shopping experience, will definitely return."
F00343,C0142,2024-11-23,4,Disappointed with the return process.
F00344,C0237,2025-06-21,2,Disappointed with the return process.
F00345,C0025,2024-11-21,5,Very satisfied with the product and support.
F00346,C0290,2024-08-15,5,Disappointed with the return process.
F00347,C0067,2025-06-22,3,Customer service was very helpful and quick.
F00348,C0250,2024-12-03,4,App is very slow and keeps freezing.
F00349,C0408,2024-08-08,3,Very satisfied with the product and support.
F00350,C0118,2024-09-19,3,Disappointed with the return process.
F00351,C0490,2024-09-03,1,"Great shopping experience, will definitely return."
F00352,C0073,2025-03-12,5,Appreciate the quick refund process.
F00353,C0282,2024-11-06,3,Website UI is confusing to navigate.
F00354,C0404,2025-04-02,1,Product quality is not as described.
F00355,C0448,2024-12-12,4,Product quality is not as described.
F00356,C0360,2025-07-04,3,Customer service was very helpful and quick.
F00357,C0010,2024-09-09,5,I had to cancel my order due to a technical glitch.
F00358,C0211,2024-08-25,3,"Great shopping experience, will definitely return."
F00359,C0323,2025-07-11,4,I had to cancel my order due to a technical glitch.
F00360,C0152,2025-05-16,3,App is very slow and keeps freezing.
F00361,C0005,2025-03-29,5,Website UI is confusing to navigate.
F00362,C0195,2024-09-27,1,App is very slow and keeps freezing.
F00363,C0442,2025-03-16,5,Very satisfied with the product and support.
F00364,C0283,2024-11-14,1,"Great shopping experience, will definitely return."
F00365,C0464,2024-11-03,2,Very satisfied with the product and support.
F00366,C0113,2025-04-15,5,Love the fast delivery and packaging.
F00367,C0271,2025-05-16,5,Disappointed with the return process.
F00368,C0163,2025-05-14,4,Product quality is not as described.
F00369,C0460,2024-08-14,3,Appreciate the quick refund process.
F00370,C0105,2024-11-27,1,Very satisfied with the product and support.
F00371,C0181,2025-03-04,1,I had to cancel my order due to a technical glitch.
F00372,C0044,2025-05-19,4,Love the fast delivery and packaging.
F00373,C0282,2025-01-21,4,Product quality is not as described.
F00374,C0175,2024-07-19,3,Very satisfied with the product and support.
F00375,C0162,2025-03-11,3,Love the fast delivery and packaging.
F00376,C0471,2025-06-24,5,Love the fast delivery and packaging.
F00377,C0351,2025-02-27,2,"Great shopping experience, will definitely return."
F00378,C0434,2024-12-22,3,App is very slow and keeps freezing.
F00379,C0340,2024-09-16,4,Love the fast delivery and packaging.
F00380,C0140,2024-12-01,3,Customer service was very helpful and quick.
F00381,C0471,2025-06-08,1,App is very slow and keeps freezing.
F00382,C0132,2024-10-19,2,Product quality is not as described.
F00383,C0087,2024-09-25,5,Product quality is not as described.
F00384,C0176,2025-01-28,1,Product quality is not as described.
F00385,C0183,2024-10-29,1,Product quality is not as described.
F00386,C0368,2025-01-31,2,Customer service was very helpful and quick.
F00387,C0129,2025-06-29,5,Very satisfied with the product and support.
F00388,C0246,2025-07-03,4,Website UI is confusing to navigate.
F00389,C0089,2024-07-22,5,Love the fast delivery and packaging.
F00390,C0066,2025-01-19,3,Product quality is not as described.
F00391,C0158,2024-11-13,1,App is very slow and keeps freezing.
F00392,C0387,2025-06-29,3,App is very slow and keeps freezing.
F00393,C0378,2024-09-15,4,Love the fast delivery and packaging.
F00394,C0149,2024-08-02,3,Very satisfied with the product and support.
F00395,C0473,2025-03-22,5,Appreciate the quick refund process.
F00396,C0340,2024-10-13,3,Appreciate the quick refund process.
F00397,C0433,2025-04-11,4,Website UI is confusing to navigate.
F00398,C0116,2024-11-09,4,Very satisfied with the product and support.
F00399,C0214,2024-10-23,4,Love the fast delivery and packaging.
F00400,C0469,2025-01-03,5,Appreciate the quick refund process.
F00401,C0446,2024-12-28,4,Appreciate the quick refund process.
F00402,C0481,2024-11-21,1,Appreciate the quick refund process.
F00403,C0372,2024-07-28,4,I had to cancel my order due to a technical glitch.
F00404,C0294,2024-10-26,3,Customer service was very helpful and quick.
F00405,C0253,2025-04-30,3,Love the fast delivery and packaging.
F00406,C0143,2025-05-04,3,Disappointed with the return process.
F00407,C0250,2025-03-25,5,"Great shopping experience, will definitely return."
F00408,C0366,2025-01-06,3,"Great shopping experience, will definitely return."
F00409,C0436,2025-03-26,5,Very satisfied with the product and support.
F00410,C0463,2024-08-13,5,Love the fast delivery and packaging.
F00411,C0302,2024-11-19,4,Love the fast delivery and packaging.
F00412,C0025,2025-02-12,1,"Great shopping experience, will definitely return."
F00413,C0277,2024-07-25,4,Website UI is confusing to navigate.
F00414,C0472,2024-09-01,4,"Great shopping experience, will definitely return."
F00415,C0377,2025-06-16,5,Love the fast delivery and packaging.
F00416,C0378,2025-07-07,5,Appreciate the quick refund process.
F00417,C0389,2025-03-12,3,Website UI is confusing to navigate.
F00418,C0070,2024-07-17,3,Product quality is not as described.
F00419,C0113,2025-04-24,4,Disappointed with the return process.
F00420,C0363,2025-02-20,2,I had to cancel my order due to a technical glitch.
F00421,C0112,2024-07-20,2,Customer service was very helpful and quick.
F00422,C0364,2024-11-07,3,Product quality is not as described.
F00423,C0303,2024-12-07,2,App is very slow and keeps freezing.
F00424,C0471,2024-09-28,3,"Great shopping experience, will definitely return."
F00425,C0452,2025-06-29,5,Disappointed with the return process.
F00426,C0091,2025-01-11,4,"Great shopping experience, will definitely return."
F00427,C0018,2024-12-07,1,"Great shopping experience, will definitely return."
F00428,C0149,2024-12-10,4,Product quality is not as described.
F00429,C0476,2024-07-26,3,Appreciate the quick refund process.
F00430,C0227,2025-04-09,3,Appreciate the quick refund process.
F00431,C0214,2025-03-30,4,I had to cancel my order due to a technical glitch.
F00432,C0360,2024-10-25,3,Website UI is confusing to navigate.
F00433,C0151,2025-04-09,2,"Great shopping experience, will definitely return."
F00434,C0192,2024-12-05,2,Very satisfied with the product and support.
F00435,C0451,2024-11-20,3,Appreciate the quick refund process.
F00436,C0040,2024-12-02,3,Love the fast delivery and packaging.
F00437,C0242,2025-05-20,2,Disappointed with the return process.
F00438,C0138,2025-01-28,3,Very satisfied with the product and support.
F00439,C0345,2025-06-09,3,Product quality is not as described.
F00440,C0180,2025-05-13,4,Product quality is not as described.
F00441,C0497,2024-12-24,1,I had to cancel my order due to a technical glitch.
F00442,C0200,2024-12-18,2,I had to cancel my order due to a technical glitch.
F00443,C0203,2025-04-13,4,Website UI is confusing to navigate.
F00444,C0061,2024-11-22,1,Love the fast delivery and packaging.
F00445,C0192,2024-09-02,3,Disappointed with the return process.
F00446,C0005,2024-11-24,3,Love the fast delivery and packaging.
F00447,C0378,2025-04-18,4,App is very slow and keeps freezing.
F00448,C0237,2024-10-22,3,I had to cancel my order due to a technical glitch.
F00449,C0181,2025-02-12,5,Website UI is confusing to navigate.
F00450,C0311,2024-09-25,4,Customer service was very helpful and quick.
F00451,C0037,2025-01-18,1,"Great shopping experience, will definitely return."
F00452,C0056,2024-10-30,4,"Great shopping experience, will definitely return."
F00453,C0443,2024-10-24,2,Customer service was very helpful and quick.
F00454,C0237,2024-08-14,4,Appreciate the quick refund process.
F00455,C0358,2025-07-02,3,Love the fast delivery and packaging.
F00456,C0349,2025-01-03,3,Customer service was very helpful and quick.
